"","ensembl_gene_id","entrezgene_id"
"677","ENSMUSG00000004098",53867
"678","ENSMUSG00000004099",13433
"679","ENSMUSG00000004100",235036
"680","ENSMUSG00000004105",26360
"681","ENSMUSG00000004110",12290
"682","ENSMUSG00000004113",12287
"683","ENSMUSG00000004127",108943
"684","ENSMUSG00000004151",14009
"685","ENSMUSG00000004187",16581
"686","ENSMUSG00000004207",19156
"687","ENSMUSG00000004221",16151
"688","ENSMUSG00000004231",18504
"689","ENSMUSG00000004233",70560
"690","ENSMUSG00000004263",13498
"691","ENSMUSG00000004264",12034
"692","ENSMUSG00000004266",15170
"693","ENSMUSG00000004267",13807
"694","ENSMUSG00000004268",14791
"695","ENSMUSG00000004270",14792
"696","ENSMUSG00000004285",66144
"697","ENSMUSG00000004296",16160
"698","ENSMUSG00000004317",12728
"699","ENSMUSG00000004319",12725
"700","ENSMUSG00000004328",53417
"701","ENSMUSG00000004341",75512
"702","ENSMUSG00000004344",14780
"703","ENSMUSG00000004347",18575
"704","ENSMUSG00000004356",70683
"705","ENSMUSG00000004359",20728
"706","ENSMUSG00000004360",212448
"707","ENSMUSG00000004364",26554
"708","ENSMUSG00000004366",20604
"709","ENSMUSG00000004371",16156
"710","ENSMUSG00000004383",16795
"711","ENSMUSG00000004393",52513
"712","ENSMUSG00000004394",103694
"713","ENSMUSG00000004415",140709
"714","ENSMUSG00000004446",12122
"715","ENSMUSG00000004451",64143
"716","ENSMUSG00000004455",19047
"717","ENSMUSG00000004455",434233
"718","ENSMUSG00000004460",67838
"719","ENSMUSG00000004462",70573
"720","ENSMUSG00000004473",20256
"721","ENSMUSG00000004500",243834
"722","ENSMUSG00000004508",14389
"723","ENSMUSG00000004530",23790
"724","ENSMUSG00000004535",52440
"725","ENSMUSG00000004540",26437
"726","ENSMUSG00000004542",26439
"727","ENSMUSG00000004552",13034
"728","ENSMUSG00000004558",29811
"729","ENSMUSG00000004561",52535
"730","ENSMUSG00000004562",268739
"731","ENSMUSG00000004565",50767
"732","ENSMUSG00000004567",94178
"733","ENSMUSG00000004568",102098
"734","ENSMUSG00000004591",109333
"735","ENSMUSG00000004609",12489
"736","ENSMUSG00000004610",110826
"737","ENSMUSG00000004612",72310
"738","ENSMUSG00000004626",20911
"739","ENSMUSG00000004630",18545
"740","ENSMUSG00000004631",20392
"741","ENSMUSG00000004633",69993
"742","ENSMUSG00000004637",80707
"743","ENSMUSG00000004642",20492
"744","ENSMUSG00000004651",22173
"745","ENSMUSG00000004654",14602
"746","ENSMUSG00000004655",11826
"747","ENSMUSG00000004661",56380
"748","ENSMUSG00000004665",12798
"749","ENSMUSG00000004667",66420
"750","ENSMUSG00000004668",268379
"751","ENSMUSG00000004677",17925
"752","ENSMUSG00000004698",79221
"753","ENSMUSG00000004707",17085
"754","ENSMUSG00000004709",18106
"755","ENSMUSG00000004730",13733
"756","ENSMUSG00000004748",67900
"757","ENSMUSG00000004768",19335
"758","ENSMUSG00000004771",53869
"759","ENSMUSG00000004788",217715
"760","ENSMUSG00000004789",78920
"761","ENSMUSG00000004791",18654
"762","ENSMUSG00000004798",29869
"763","ENSMUSG00000004814",56221
"764","ENSMUSG00000004815",110524
"765","ENSMUSG00000004821",67366
"766","ENSMUSG00000004837",71520
"767","ENSMUSG00000004842",18736
"768","ENSMUSG00000004843",68942
"769","ENSMUSG00000004846",26433
"770","ENSMUSG00000004849",11769
