"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000011951",433.532801600942,1.07266893646366,0.445179524351119,0.00127277619804798,0.0206665262868991
"ENSSSCG00000012075",299.433384261893,1.27678253645968,0.499882659921259,0.000638009972865039,0.0128946151254825
"ENSSSCG00000012136",183.876845452419,1.00811226102689,0.542879183309033,0.00464778638336058,0.0494225051505609
"ENSSSCG00000012262",373.162304160136,1.05183356732741,0.319874748672081,0.000102262884471856,0.00349779674703465
"ENSSSCG00000012266",22.6462841434896,2.3774597217934,1.06280988639894,0.000682268765342513,0.0132927600404383
"ENSSSCG00000012317",434.594731237626,1.05541931215131,0.362147734693841,0.000349350403393808,0.00830594829850599
"ENSSSCG00000012347",192.672965625778,2.17975964248487,0.665424329742766,3.50001321068251e-05,0.00149373311552304
"ENSSSCG00000012350",256.179768577494,1.1681460203564,0.334531806273304,4.14248087242145e-05,0.00171763391797624
"ENSSSCG00000012531",7.72334760117418,5.88240802391164,2.75350177016221,9.94740758893635e-05,0.00341473598555715
"ENSSSCG00000012667",528.129381304271,1.2447224401935,0.395947369463395,0.000128869908189417,0.00414593529759126
"ENSSSCG00000012699",2880.06359744293,1.04525027005484,0.4272779077023,0.0012266246319027,0.0201415165943884
"ENSSSCG00000013030",882.747050655626,1.00691846926932,0.366057168018962,0.000593545121016259,0.0122650888747406
"ENSSSCG00000013150",195.683892070309,2.03069937277213,0.560346469144699,1.13369382666427e-05,0.000629274612433873
"ENSSSCG00000013231",419.637181253639,1.37891989949351,0.648807006349877,0.0014779574610835,0.0230137647546401
"ENSSSCG00000013261",20.8395804390867,2.29727906062537,1.35932444516464,0.00178125454251751,0.0260238953941128
"ENSSSCG00000013262",937.107340392775,1.06225462798108,0.386244270454844,0.000531367516164593,0.0113388322790573
"ENSSSCG00000013270",785.812592193048,1.53484374513094,0.476981103978422,6.68909283713901e-05,0.00255033440987821
"ENSSSCG00000013300",66.6940473211425,1.67754529225392,0.629859673612514,0.000328199606324654,0.00799364311085586
"ENSSSCG00000013393",886.908291157908,1.31022596719765,0.313200225984807,2.16214216459107e-06,0.000172144671751413
"ENSSSCG00000013408",290.124951009389,1.69711273729924,0.414018172426745,2.14712524961164e-06,0.000172144671751413
"ENSSSCG00000013425",255.399424914352,1.45649511050202,0.453942646907293,7.70287343533695e-05,0.00283972273786381
"ENSSSCG00000013433",36.3098775953403,1.52484286189006,0.758436014480605,0.00167398721467615,0.0249178191130388
"ENSSSCG00000013735",836.442886567027,1.56094496414234,1.1978950169851,0.00370566522032886,0.0425052362348739
"ENSSSCG00000013893",885.221410842561,1.63927774861963,0.352194725042665,1.83979814474989e-07,2.42099548922679e-05
"ENSSSCG00000014016",2208.71285632387,1.27834552075345,0.262300398034515,8.81445512113885e-08,1.38037281066496e-05
"ENSSSCG00000014029",576.5894597855,1.26703215112648,0.349167037129405,2.11026700215477e-05,0.00100724053964309
"ENSSSCG00000014066",273.326900696557,1.34216706938241,0.473350828373214,0.000270928698401167,0.007003857989091
"ENSSSCG00000014156",1812.59136495111,1.00715503784925,0.2850508947825,4.61021120242147e-05,0.00185475354723321
"ENSSSCG00000014213",74.1318081347891,1.12523525396112,0.524186647311166,0.00216345307445302,0.0297700328491696
"ENSSSCG00000014338",3787.33468708358,1.04760009239081,0.244681434957379,2.11365599464404e-06,0.000170432627414936
"ENSSSCG00000014570",78.3209676141436,1.03929603406614,0.53000234821469,0.00368865860575007,0.0423956437802352
"ENSSSCG00000014626",76.046178653447,1.49346398336599,0.708361667236782,0.00136338844784222,0.0217274144972351
"ENSSSCG00000014725",28221.343711198,2.32925546834518,0.456615609926268,1.95360521175164e-08,4.02378969103064e-06
"ENSSSCG00000014843",79.7191616468327,2.40465808167642,0.725916684904723,3.01992154105936e-05,0.00134015206748323
"ENSSSCG00000014907",227.026605265374,1.38525871871514,0.432878519990956,8.54919870373189e-05,0.00303937647724232
"ENSSSCG00000014933",57.3142932168855,5.45915032568444,0.934841773883538,3.64202385519375e-10,1.50027630504492e-07
"ENSSSCG00000015069",247.163404712894,1.20230184349394,0.628559523526749,0.00288102412789675,0.0360346707587561
"ENSSSCG00000015073",9665.23666076001,1.49302521380274,0.415532939062529,1.88029070512226e-05,0.000917819313071278
"ENSSSCG00000015120",1759.37771639759,2.72692647763343,0.364855064353056,2.93423775236839e-15,1.11201742339257e-11
"ENSSSCG00000015126",317.620209004421,2.28627577322788,0.623637296610822,8.40967018337962e-06,0.000497983875952689
"ENSSSCG00000015238",83.9891002459493,1.39261710856858,0.653129076699235,0.0014844041838241,0.0230557171141663
"ENSSSCG00000015342",21.2126377653026,2.11725784084632,1.47179481150424,0.00246958753758859,0.0327844336924824
"ENSSSCG00000015345",75.3209438149515,1.00174379329424,0.53148734010843,0.00464591799413876,0.0494225051505609
"ENSSSCG00000015373",8.97344983934932,4.06475208695302,1.99627810749353,0.001150497648452,0.0193775831575479
"ENSSSCG00000015375",318.437274494216,2.13875643898267,0.481741006882224,3.68004207771776e-07,4.200790200643e-05
"ENSSSCG00000015426",97.0384990880645,1.27604158583381,0.743050331253465,0.00353828145104116,0.0411330645495577
