"","Mouse.gene.stable.ID","DownLFC"
"352","ENSMUSG00000037101","-2.3288322683284"
"353","ENSMUSG00000037106","-2.64681031401662"
"354","ENSMUSG00000037140","-3.35361835038946"
"355","ENSMUSG00000037263","-3.87795947100284"
"356","ENSMUSG00000037432","-2.46750634867567"
"357","ENSMUSG00000037477","-3.19696634815301"
"358","ENSMUSG00000037492","-2.64519091250336"
"359","ENSMUSG00000037542","-2.51206407079482"
"360","ENSMUSG00000037593","-2.19314092060463"
"361","ENSMUSG00000037686","-3.41015923419698"
"362","ENSMUSG00000037762","-2.42842077951494"
"363","ENSMUSG00000037801","-2.23035187904704"
"364","ENSMUSG00000037818","-2.16984004372532"
"365","ENSMUSG00000037982","-2.42057228535811"
"366","ENSMUSG00000038045","-2.22703958232175"
"367","ENSMUSG00000038072","-2.29874646670067"
"368","ENSMUSG00000038092","-3.73993117135194"
"369","ENSMUSG00000038115","-3.29467751365141"
"370","ENSMUSG00000038173","-2.46397240962593"
"371","ENSMUSG00000038224","-2.76803317933101"
"372","ENSMUSG00000038298","-2.32222838054891"
"373","ENSMUSG00000038311","-2.48879728467774"
"374","ENSMUSG00000038526","-2.74363630084772"
"375","ENSMUSG00000038540","-2.20041410987523"
"376","ENSMUSG00000038550","-2.20506015685195"
"377","ENSMUSG00000038598","-2.40781269271493"
"378","ENSMUSG00000038624","-3.59204122962113"
"379","ENSMUSG00000038641","-2.93502500536435"
"380","ENSMUSG00000038704","-3.94652990303689"
"381","ENSMUSG00000038745","-3.35232546553007"
"382","ENSMUSG00000038751","-2.8697831628434"
"383","ENSMUSG00000038754","-3.54715156884081"
"384","ENSMUSG00000038768","-2.14772194003048"
"385","ENSMUSG00000038782","-2.19975890126153"
"386","ENSMUSG00000038801","-3.30925753660723"
"387","ENSMUSG00000038968","-2.21666403481386"
"388","ENSMUSG00000039200","-2.60367910210393"
"389","ENSMUSG00000039337","-2.8018693736935"
"390","ENSMUSG00000039339","-2.89383950859248"
"391","ENSMUSG00000039438","-2.46405845009948"
"392","ENSMUSG00000039539","-3.4177494035147"
"393","ENSMUSG00000039579","-3.67673502199013"
"394","ENSMUSG00000039652","-3.10139976349761"
"395","ENSMUSG00000039653","-2.92703092197346"
"396","ENSMUSG00000039710","-2.20406844512383"
"397","ENSMUSG00000039714","-2.72758852922528"
"398","ENSMUSG00000039783","-2.3459872890034"
"399","ENSMUSG00000039878","-2.10277602971747"
"400","ENSMUSG00000040127","-3.32658338607877"
"401","ENSMUSG00000040170","-2.64755745927554"
"402","ENSMUSG00000040181","-2.76837104315558"
"403","ENSMUSG00000040205","-4.325782307636"
"404","ENSMUSG00000040258","-2.02789646996635"
"405","ENSMUSG00000040441","-2.64275863842278"
"406","ENSMUSG00000040485","-4.40608507314334"
"407","ENSMUSG00000040569","-2.17156701615018"
"408","ENSMUSG00000040629","-2.35851545228941"
"409","ENSMUSG00000040650","-2.28330123544092"
"410","ENSMUSG00000040657","-2.06287967156656"
"411","ENSMUSG00000040693","-2.21604961985077"
"412","ENSMUSG00000040752","-5.36481519132125"
"413","ENSMUSG00000040808","-2.11029275632752"
"414","ENSMUSG00000040838","-2.60952557681442"
"415","ENSMUSG00000040943","-2.04136266489928"
"416","ENSMUSG00000040966","-2.26173392863868"
"417","ENSMUSG00000041044","-3.02476724147739"
"418","ENSMUSG00000041052","-3.71935982894004"
"419","ENSMUSG00000041247","-2.25740674308122"
"420","ENSMUSG00000041468","-3.02236209068755"
"421","ENSMUSG00000041476","-2.57822641012513"
"422","ENSMUSG00000041644","-2.09056823739319"
"423","ENSMUSG00000041653","-2.30223978726968"
"424","ENSMUSG00000041660","-2.3830741621108"
"425","ENSMUSG00000041698","-2.40767201520998"
"426","ENSMUSG00000041872","-4.06319160768098"
"427","ENSMUSG00000041911","-3.03526990404439"
"428","ENSMUSG00000042102","-3.0127397535495"
"429","ENSMUSG00000042118","-2.66065403110449"
"430","ENSMUSG00000042179","-2.20082967742404"
"431","ENSMUSG00000042282","-4.2820504522756"
"432","ENSMUSG00000042662","-4.36776883453634"
"433","ENSMUSG00000042672","-2.40943611720156"
"434","ENSMUSG00000042761","-2.31277963214082"
"435","ENSMUSG00000042797","-2.28031969018074"
"436","ENSMUSG00000042988","-2.27012944468798"
